city,lat,lng,admin,country
Dublin,53.3500,-6.2603,Dublin,Ireland
Finglas,53.4597,-6.2181,Dublin,Ireland
Cork,51.8972,-8.4700,Cork,Ireland
Galway,53.2719,-9.0489,Galway,Ireland
Tallaght,53.2886,-6.3572,South Dublin,Ireland
Limerick,52.6653,-8.6238,Limerick,Ireland
Lucan,53.3544,-6.4486,South Dublin,Ireland
Waterford,52.2567,-7.1292,Waterford,Ireland
Clondalkin,53.3203,-6.3947,Dublin,Ireland
Dundalk,54.0044,-6.4003,Louth,Ireland
Drogheda,53.7150,-6.3525,Louth,Ireland
Swords,53.4597,-6.2181,Fingal,Ireland
Navan,53.6528,-6.6814,Meath,Ireland
Blackrock,53.3015,-6.1778,Dún,Ireland
Ennis,52.8463,-8.9807,Clare,Ireland
Douglas,51.8764,-8.4358,Cork,Ireland
Tralee,52.2675,-9.6962,Kerry,Ireland
Carlow,52.8306,-6.9317,Carlow,Ireland
Dun Laoghaire,53.3000,-6.1400,Dublin,Ireland
Portlaoise,53.0323,-7.3047,Laoise,Ireland
Rathfarnham,53.2988,-6.2854,South Dublin,Ireland
Athlone,53.4236,-7.9425,Westmeath,Ireland
Ashtown,53.3754,-6.3326,Dublin,Ireland
Mullingar,53.5224,-7.3378,Westmeath,Ireland
Letterkenny,54.9566,-7.7203,Donegal,Ireland
Kilkenny,52.6477,-7.2561,Kilkenny,Ireland
Greystones,53.1440,-6.0720,Wicklow,Ireland
Wexford,52.3342,-6.4575,Wexford,Ireland
Naas,53.2170,-6.6630,Kildare,Ireland
Newbridge,53.1805,-6.7959,Kildare,Ireland
Celbridge,53.3380,-6.5388,Kildare,Ireland
Ballyfermot,53.3423,-6.3487,Dublin,Ireland
Sligo,54.2667,-8.4833,Sligo,Ireland
Ballincollig,51.8879,-8.5893,Cork,Ireland
Malahide,53.4508,-6.1544,Fingal,Ireland
Clonmel,52.3539,-7.7116,Tipperary,Ireland
Carrigaline,51.8166,-8.3905,Cork,Ireland
Stillorgan,53.2888,-6.1958,Dún,Ireland
Terenure,53.3098,-6.2835,South Dublin,Ireland
Maynooth,53.3816,-6.5910,Kildare,Ireland
Leixlip,53.3643,-6.4881,Kildare,Ireland
Bettystown,53.7014,-6.2461,Meath,Ireland
Donacarney,53.7094,-6.2783,Meath,Ireland
Tullamore,53.2667,-7.5000,Offaly,Ireland
Killarney,52.0588,-9.5072,Kerry,Ireland
Midleton,51.9160,-8.1750,Cork,Ireland
Arklow,52.7941,-6.1649,Wicklow,Ireland
Castlebar,53.8608,-9.2988,Mayo,Ireland
Wicklow,52.9779,-6.0330,Wicklow,Ireland
Cobh,51.8510,-8.2967,Cork,Ireland
Enniscorthy,52.5021,-6.5659,Wexford,Ireland
Cavan,53.9910,-7.3601,Cavan,Ireland
Gorey,52.6770,-6.2920,Wexford,Ireland
Tramore,52.1588,-7.1463,Waterford,Ireland
Palmerston,53.3500,-6.3790,Fingal,Ireland
Athy,52.9920,-6.9870,Kildare,Ireland
Longford,53.7270,-7.8000,Longford,Ireland
Rush,53.5220,-6.0890,Fingal,Ireland
Skerries,53.5828,-6.1083,Fingal,Ireland
Killiney,53.2651,-6.1137,Dún,Ireland
Ratoath,53.5060,-6.4630,Meath,Ireland
Glanmire,51.9167,-8.4000,Cork,Ireland
Nenagh,52.8632,-8.1995,Tipperary,Ireland
Donabate,53.4870,-6.1520,Fingal,Ireland
Tuam,53.5150,-8.8510,Galway,Ireland
Shannon,52.7137,-8.8686,Clare,Ireland
Lusca,53.5260,-6.1670,Fingal,Ireland
Kilcock,53.4004,-6.6681,Kildare,Ireland
New Ross,52.3960,-6.9450,Wexford,Ireland
Youghal,51.9517,-7.8456,Cork,Ireland
Thurles,52.6790,-7.8140,Tipperary,Ireland
Clane,53.2918,-6.6861,Kildare,Ireland
Dungarvan,52.0845,-7.6397,Waterford,Ireland
Monaghan,54.2478,-6.9708,Monaghan,Ireland
Edenderry,53.3450,-7.0512,Offaly,Ireland
Kildare,53.1577,-6.9113,Kildare,Ireland
Newcastle West,52.4510,-9.0550,Limerick,Ireland
Buncrana,55.1364,-7.4560,Donegal,Ireland
Fermoy,52.1410,-8.2760,Cork,Ireland
Carrigtohill,51.9094,-8.2573,Cork,Ireland
Ballinasloe,53.3275,-8.2194,Galway,Ireland
Dunshaughlin,53.5118,-6.5395,Meath,Ireland
Roscommon,53.6333,-8.1833,Roscommon,Ireland
Loughrea,53.1970,-8.5670,Galway,Ireland
Sallins,53.2492,-6.6650,Kildare,Ireland
Westport,53.8000,-9.5333,Mayo,Ireland
Carrickmines,53.2480,-6.1810,Dun Laoghaire-Rathdown,Ireland
Passage West,51.8713,-8.3352,Cork,Ireland
Oranmore,53.2683,-8.9200,Galway,Ireland
Rathcoole,53.2828,-6.4728,South Dublin,Ireland
Carrick-on-Suir,52.3465,-7.4120,Tipperary,Ireland
Dunboyne,53.4200,-6.4750,Meath,Ireland
Blessington,53.1700,-6.5330,Wicklow,Ireland
Roscrea,52.9550,-7.7970,Tipperary,Ireland
Monasterevin,53.1387,-7.0608,Kildare,Ireland
Tullow,52.8003,-6.7369,Carlow,Ireland
Carrickmacross,53.9760,-6.7190,Monaghan,Ireland
Tipperary,52.4740,-8.1620,Tipperary,Ireland
Ardee,53.8554,-6.5379,Louth,Ireland
Mountmellick,53.1163,-7.3241,Laois,Ireland
Kinsale,51.7056,-8.5222,Cork,Ireland
Ballybofey,54.8000,-7.7900,Donegal,Ireland
Listowel,52.4470,-9.4860,Kerry,Ireland
Carrick on Shannon,53.9440,-8.0950,Leitrim,Ireland
Athenry,53.3000,-8.7460,Galway,Ireland
Saggart,53.2800,-6.4440,South Dublin,Ireland
